sample-data-Car_repair_and_maintenances
name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
Lim Tayar @ Taman Sri Hartamas,"34, Jalan Sri Hartamas 8 Taman Sri Hartamas, Desa Sri Hartamas, 50480 Kuala Lumpur, Malaysia",+60 3-6201 8817,limtayar@ckl.com.my,3.1580901,101.6501138,http://www.limtayar.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.1,243,50480,Auto repair shops,"Car Service Stations,Car repair and maintenances,Tire shops,Garages,Auto spring shops,Wheel alignment services,Auto radiator repair services,Tire repair shops,Auto repair shops,Wheel stores,Car battery stores,Car repair and maintenance services"
Lim Tayar Hulu Kelang,"Lot 353-A, Batu 7, Jalan Ulu Kelang, Hulu Kelang, 68000 Ampang, Selangor, Malaysia",+60 3-4251 6007,limtayar@ckl.com.my,3.191158,101.762142,http://www.limtayar.com.my/,Malaysia,Kuala Lumpur,,4.4,156,68000,Auto repair shops,"Tire repair shops,Auto repair shops,Car battery stores,Auto spring shops,Wheel alignment services,Auto radiator repair services,Car repair and maintenance services,Car Service Stations,Car repair and maintenances,Tire shops,Wheel stores,Garages"
Avantegarde Car Care,"16, Jalan 2/118b, Desa Tun Razak, 56000 Kuala Lumpur, Cheras, Malaysia",+60 3-9172 3299,webmaster@chicvalley.com,3.0809336,101.7212855,http://www.avantegarde.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,3.3,3,56000,Auto repair shops,"Car Service Stations,Car repair and maintenances,Auto repair shops,Garages"
Massimo Motorsports Enterprise,"7, Hala Rapat Baru 19, Kawasan Perindustrian Ringan Kinta Jaya, 31350 Ipoh, Perak, Malaysia",+60 12-506 9199,smb_web@support.whatsapp.com,4.5642876,101.1104202,https://bit.ly/3QHYdOj,Malaysia,Perak,Ipoh,4.6,10,31350,Auto repair shops,"Car Service Stations,Car repair and maintenances,Auto repair shops,Garages"
Lim Tayar Seremban 2,"Pusat Dagangan, 124, Jln S2 B20, Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",+60 6-601 3877,limtayar@ckl.com.my,2.6926206,101.9029886,http://www.limtayar.com.my/,Malaysia,Negeri Sembilan,Seremban,4.3,175,70300,Auto repair shops,"Garages,Auto spring shops,Wheel alignment services,Auto radiator repair services,Tire repair shops,Auto repair shops,Car repair and maintenance services,Car battery stores,Wheel stores,Car Service Stations,Car repair and maintenances,Tire shops"
Teng Eng Tyre Trading,"Malaysia, MY Kedah Alor Setar Pekan Pumpong 2520-A邮政编码: 05250",+60 19-465 8580,smb_web@support.whatsapp.com,6.1540057,100.3689819,http://wa.me/60194658580,Malaysia,Kedah,Alor Setar,0,0,5250,Auto repair shops,"Auto repair shops,Garages,Car Service Stations,Car repair and maintenances"
Lim Tayar Sentul,"2, Lorong Sentul Kecil, Off, Jln Sentul, Sentul, 51100 Kuala Lumpur, Malaysia",+60 3-4042 9797,limtayar@ckl.com.my,3.182231,101.6919132,https://limtayar.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.5,151,51100,Auto repair shops,"Auto spring shops,Wheel alignment services,Auto radiator repair services,Car battery stores,Wheel stores,Car Service Stations,Car repair and maintenances,Tire shops,Tire repair shops,Auto repair shops,Garages"
Weststar Maxus Distributors Sdn Bhd,"366, Jln Tun Razak, Taman U Thant, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 3-2143 3331,hr.maxus@weststar.com.my,3.1575535,101.7214164,https://weststarmaxus.com/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.2,96,55000,Car dealers,"Garages,Car dealers,Car Service Stations,Car repair and maintenances,Auto repair shops"
Tian Siang BP (Ipoh) Sdn. Bhd.,"Lot 4934, Jln. Kuala Kangsar, Kampung Tembok, 30010 Ipoh, Perak, Malaysia",+60 12-500 1371,tsompk@tiansiang.com,4.6234336,101.0831242,http://www.tiansiang.com/,Malaysia,Perak,Ipoh,3.9,49,30010,Auto repair shops,"Garages,Auto repair shops,Car Service Stations,Car repair and maintenances"
Raynorton Motorsport (RNM),"Lot 63-LG, Jalan Melati utama 4, taman, Melati Utama, 53100 Kuala Lumpur, Malaysia",+60 19-281 3345,Pie_weykang@yahoo.com,3.2228964,101.7309548,http://raynortonmotorsport.blogspot.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.8,76,53100,Auto repair shops,"Car Service Stations,Car repair and maintenances,Garages,Auto repair shops"
Sunlun Auto Service AZ Sdn Bhd,"77, Jalan Lanang, 96000 Sibu, Sarawak, Malaysia",+60 84-328 124,hr@sunlun.com.my,2.277476,111.8392597,http://www.retail.sunlun.com.my/,Malaysia,Sarawak,Sibu,4.3,63,96000,Tire shops,"Auto repair shops,Oil change services,Wheel alignment services,Tire repair shops,Garages,Car Service Stations,Car repair and maintenances,Auto parts stores,Mechanics,Tire shops,Car battery stores"
Lim Auto Enterprise,"Lot 1483, Jln Zabedah, Kampung Pegawai, 83000 Batu Pahat, Johor, Malaysia",+60 19-728 6418,info@batupahat.my,1.8537829,102.9352466,http://www.batupahat.my/car-36710.html,Malaysia,Johor,Batu Pahat,0,0,83000,Auto repair shops,"Car Service Stations,Car repair and maintenances,Garages,Auto repair shops"
TL Garage (Miri) Sdn. Bhd.,"Lot 1799, Block 3, MCLD, Industrial Estate, Miri, 98000, Miri, Sarawak, 98000, Malaysia",+60 85-661 926,enquiry@tlgarage.com.my,4.444733,114.009216,http://www.tlgarage.com.my/,Malaysia,Sarawak,Miri,4.2,20,98000,Auto repair shops,"Auto repair shops,Garages,Car Service Stations,Car repair and maintenances"
"Ford Gombak, Trio Mantap Sdn Bhd, Showroom, Service Centre, Spare Parts","3, No. 72 Batu 3, Jln Gombak, Gombak, 53000 Kuala Lumpur, Malaysia",+60 3-4022 8882,customercare@sianghin.com,3.1965546,101.7043777,https://sianghin.com/triomantap.html,Malaysia,Kuala Lumpur,Kuala Lumpur,3.8,153,53000,Ford dealers,"Garages,Car dealers,Ford dealers,Car Service Stations,Car repair and maintenances,Auto repair shops"
Chian Soon Tyre Battery Sdn Bhd (Penanti) (202933-A),"Jalan Penanti 1, Taman Penanti, 14400 Kubang Semang, Pulau Pinang, Malaysia",+60 4-521 1619,chiansoon@outlook.com,5.405559,100.4637229,https://www.chiansoontyre.com/,Malaysia,Penang,Bukit Mertajam,4.9,470,14400,Auto repair shops,"Car Service Stations,Car repair and maintenances,Auto repair shops,Garages"
Proton Sin Siang Hin (M) Sdn Bhd - Jalan Zaaba,"Jln Zaaba, Seremban, 70100 Seremban, Negeri Sembilan, Malaysia",+60 16-660 6643,customercare@sianghin.com,2.711041,101.952457,http://www.sianghin.com/,Malaysia,Negeri Sembilan,Seremban,3.8,137,70100,Auto repair shops,"Auto repair shops,Car Service Stations,Car repair and maintenances,Garages"
Lim Tayar Cheras BT4,"Lot 3895, Batu 4, Jln Cheras, Taman Pertama, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",+60 12-927 0014,limtayar@ckl.com.my,3.1155528,101.728634,https://www.limtayar.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,5,7,56000,Auto repair shops,"Auto repair shops,Car Service Stations,Car repair and maintenances,Garages"
Wira Medik Automobile Services Sdn Bhd,"No1, Lorong 1 Jalan SP 2, Taman Seri Pandan, 75250 Melaka, Malaysia",+60 19-658 7944,eradamaitransport@gmail.com,2.2159148,102.2296887,http://www.eradamai.com/,Malaysia,Melaka,Malacca,4.7,51,75250,Towing services,"Towing services,Garages,Car Service Stations,Car repair and maintenances,Auto parts stores,Mechanics,Car rental agencies,Auto repair shops,Auto electrical services,Auto air conditioning services,Car battery stores"
Lim Tayar Jalan Gombak,"3, No 140, Batu, 1/2, Jln Gombak, Taman Sri Setapak, 53000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",+60 11-1274 8255,limtayar@ckl.com.my,3.1947481,101.7050148,http://www.limtayar.com.my/,Malaysia,Kuala Lumpur,Kuala Lumpur,4.1,197,53000,Auto repair shops,"Car repair and maintenance services,Wheel stores,Car Service Stations,Car repair and maintenances,Tire shops,Tire repair shops,Auto repair shops,Garages,Auto spring shops,Wheel alignment services,Auto radiator repair services,Car battery stores"
